CDL,lon,lat,scl,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,bbox,year,tile,scene_date
Developed/Open Space,-90.55971527704858,35.57474510340246,10,1721,1756,2142,2166,2756,3911,4081,4487,4489,8546,3761,2810,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55938189832416,35.57472977001889,10,1598,1598,1926,1990,2303,3533,3851,4264,4461,8642,3552,2694,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55904851973379,35.57471443569658,10,1598,1798,1982,1908,2182,3341,4017,4380,4522,8642,3529,2653,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55871514127749,35.574699100435495,10,1353,1744,2040,1852,2119,3415,4142,4520,4561,7731,3508,2479,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55838176295525,35.57468376423562,10,1353,1474,1786,1738,2343,3564,4108,4340,4489,7731,3770,2626,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5580483847671,35.574668427097,10,1009,1238,1592,1526,2151,3302,3842,4100,4275,6068,3843,2725,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55771500671302,35.57465308901964,10,1009,1480,1820,1594,2072,3424,3873,4352,4304,6068,3744,2642,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55738162879304,35.57463775000348,10,712,1588,1828,1584,1830,3490,4171,4448,4380,4590,3489,2408,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55704825100717,35.57462241004853,10,712,1748,1798,1606,1814,3312,4030,4332,4327,4590,3518,2474,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5567148733554,35.57460706915486,5,631,1636,1688,1554,1902,3201,3846,4252,4226,4135,3539,2407,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55638149583775,35.5745917273224,5,631,1436,1504,1572,1854,3329,3855,4136,4199,4135,3387,2278,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55604811845424,35.57457638455119,4,656,1192,1396,1562,1740,3253,3680,3817,4049,4145,3448,2508,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55571474120485,35.574561040841225,4,656,1040,1532,1754,1746,3215,3931,3897,4117,4145,3545,2627,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55538136408961,35.57454569619246,5,706,1390,1776,2112,2413,3036,3312,3344,3610,3825,3768,2802,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55504798710851,35.57453035060499,5,706,1376,2034,2508,2476,3394,3731,4064,4176,3825,3762,2708,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55471461026158,35.57451500407872,5,660,1008,1414,1502,2350,3752,4033,4296,4393,4322,3754,2770,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55438123354881,35.574499656613696,5,660,1016,1532,1748,2333,3648,3898,3963,4234,4322,3876,2919,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Low Intensity,-90.55404785697023,35.57448430820989,5,639,1094,1528,1722,2571,3550,3959,4152,4200,4221,4038,2964,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Low Intensity,-90.55371448052581,35.57446895886738,5,639,1218,1832,2122,2597,3515,3954,4119,4257,4221,3952,2896,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Background,-90.59940726679312,35.57629551789264,4,544,709,1015,1074,1361,3240,3881,4028,4352,3473,2750,1538,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59907387334019,35.576280296276245,4,480,607,984,802,1370,3365,4039,4376,4408,4104,2666,1488,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59874048002034,35.576265073720954,4,480,651,1018,908,1465,3490,4134,4268,4448,4104,2745,1553,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59840708683357,35.57624985022695,4,496,677,1000,860,1486,3308,3886,4540,4173,4063,2751,1476,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59807369377991,35.57623462579406,4,496,642,1030,1009,1496,3078,3570,4092,4061,4063,2786,1537,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59774030085934,35.57621940042231,4,507,754,1102,894,1539,3273,3859,4204,4262,3965,2806,1707,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5974069080719,35.57620417411176,4,507,670,1184,950,1647,3193,3708,4064,4190,3965,2913,1746,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5970735154176,35.576188946862366,4,492,640,1016,816,1518,3533,4133,4568,4543,4204,2758,1433,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59674012289642,35.57617371867419,4,485,467,946,474,1661,4828,5548,5472,5879,5599,2611,1214,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59640673050839,35.576158489547176,4,478,462,872,449,1592,4716,5415,5580,5669,5968,2625,1275,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59607333825352,35.57614325948133,4,478,536,1006,623,1694,4573,5278,4952,5593,5968,2664,1316,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59573994613179,35.57612802847665,4,497,498,908,419,1594,5295,6175,6172,6578,6411,2614,1153,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59540655414322,35.57611279653319,4,497,499,928,514,1681,5208,5987,5972,6451,6411,2691,1199,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59507316228783,35.57609756365083,4,514,484,936,482,1641,5372,6186,5860,6518,6396,2607,1138,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59473977056562,35.57608232982972,4,514,466,919,436,1534,5636,6629,6664,7048,6396,2600,1108,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59440637897661,35.576067095069796,4,520,503,993,512,1723,5677,6593,6564,7015,6499,2713,1131,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5940729875208,35.57605185937099,4,520,526,992,525,1758,5557,6428,6156,6775,6499,2698,1144,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59373959619819,35.57603662273342,4,531,506,970,542,1683,5394,6242,6156,6617,6434,2661,1166,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5934062050088,35.576021385156956,4,531,534,993,530,1884,5275,6222,6192,6699,6434,2734,1178,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59307281395265,35.57600614664174,4,682,554,1034,763,1901,5457,6365,6700,6700,6624,2786,1273,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5927394230297,35.575990907187695,4,682,496,1094,762,1919,5354,6239,6656,6498,6624,2789,1329,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
